time,q1,q2,q3,q4,q5,q6,dq1,dq2,dq3,dq4,dq5,dq6,ddq1,ddq2,ddq3,ddq4,ddq5,ddq6
8.005336891260840526e-02,3.601500503474117654e-01,7.244373197694973232e-01,4.499732833002309529e-01,1.540850417116602422e+00,7.280410437966710058e-01,-2.513140921393342442e+00,-5.526955044473969014e-01,-4.886093453743444726e-01,-9.328673264484568239e-01,2.534947089544365983e-01,-1.939431367015403307e+00,-1.337577207970260806e+00,4.669561562070032590e-01,-2.586643752466810664e+00,-1.659865591730202095e+00,-1.348763252338433194e+00,-1.666076520198570332e+00,-4.464437559956810020e+00
8.672448298865910454e-02,3.564733118583233162e-01,7.211203795348860579e-01,4.437132566836214376e-01,1.542511619835307490e+00,7.150663533170046327e-01,-2.522163489352572618e+00,-5.495960204447418729e-01,-5.057812248130910682e-01,-9.438626120006953224e-01,2.445522929384207067e-01,-1.950298111345631913e+00,-1.367402546090990212e+00,4.621661663561413835e-01,-2.561359807873580419e+00,-1.636444215482503406e+00,-1.332190234477560020e+00,-1.591671943669584310e+00,-4.476921028050261597e+00
9.339559706470980383e-02,3.528171392216045144e-01,7.176894519380776494e-01,4.373804038405366135e-01,1.544113534686018196e+00,7.020208296504668599e-01,-2.531385290952404166e+00,-5.465305457901989961e-01,-5.227819208201784917e-01,-9.547001197670975658e-01,2.357200893616901993e-01,-1.960666495656120389e+00,-1.397305597125483745e+00,4.567610971644717743e-01,-2.535324201918212950e+00,-1.612564706345412713e+00,-1.315722235040662547e+00,-1.516673062582971188e+00,-4.487734954214116279e+00
1.000667111407605031e-01,3.491812919129239634e-01,7.141456956334293338e-01,4.309757874788252008e-01,1.545656894542036142e+00,6.889078104205578201e-01,-2.540806807433683367e+00,-5.435031645108778786e-01,-5.396064441010971491e-01,-9.653768115523101434e-01,2.269973843712269901e-01,-1.970532653118330702e+00,-1.427275205387356749e+00,4.507467689924784526e-01,-2.508544506082514225e+00,-1.588232502052793871e+00,-1.299363202450111610e+00,-1.441109248513568142e+00,-4.496874063980538239e+00
1.067378252168112024e-01,3.455655022948053157e-01,7.104903023892285008e-01,4.245004904524664058e-01,1.547142427427847355e+00,6.757306583916041776e-01,-2.550428445504217656e+00,-5.405179207483632453e-01,-5.562498566545750478e-01,-9.758896858935510732e-01,2.183834383315312322e-01,-1.979892913585191927e+00,-1.457300182335559802e+00,4.441293186156154427e-01,-2.481028526214479779e+00,-1.563453177006843164e+00,-1.283116917840234850e+00,-1.365010092998704572e+00,-4.504333782178759016e+00
1.134089392928619017e-01,3.419694758897259823e-01,7.067244967403125688e-01,4.179556155134959150e-01,1.548570856350849567e+00,6.624927601518704190e-01,-2.560250537135165594e+00,-5.375788166589329231e-01,-5.727072733283086192e-01,-9.862357789665101571e-01,2.098774869411264010e-01,-1.988743805018543753e+00,-1.487369311242923597e+00,4.369151958849257777e-01,-2.452784300190544275e+00,-1.538232440523037203e+00,-1.266986994922976173e+00,-1.288405395547836285e+00,-4.510110233919342626e+00
1.200800533689126010e-01,3.383928916671471443e-01,7.028495356303607888e-01,4.113422850579253054e-01,1.549942899140529518e+00,6.491975247874132160e-01,-2.570273339388595701e+00,-5.346898103365332888e-01,-5.889738633588310623e-01,-9.964121654794011462e-01,2.014787423496116059e-01,-1.997082054836333942e+00,-1.517471351870253615e+00,4.291111602440809136e-01,-2.423820095498066429e+00,-1.512576135033954827e+00,-1.250976879957359067e+00,-1.211325151574455639e+00,-4.514200245275032053e+00
1.267511674449633141e-01,3.348354023443192440e-01,6.988667080439712187e-01,4.046616408657392472e-01,1.551259268295089200e+00,6.358483825472174278e-01,-2.580497034276236334e+00,-5.318548137594627523e-01,-6.050448518949900212e-01,-1.006415959554897821e+00,1.931863942745740137e-01,-2.004904591179055728e+00,-1.547595045143959736e+00,4.207242771045283103e-01,-2.394144406738783815e+00,-1.486490234252672460e+00,-1.235089851822299245e+00,-1.133799540255262972e+00,-4.516601343658246392e+00
1.334222815210140134e-01,3.312966347007076928e-01,6.947773346286270080e-01,3.979148438350493810e-01,1.552520670835523919e+00,6.224487835001545344e-01,-2.590921728649430378e+00,-5.290776907617081859e-01,-6.209155215045074616e-01,-1.016244315599684089e+00,1.849996111176715474e-01,-2.012208544094967522e+00,-1.577729117835184658e+00,4.117619140805075517e-01,-2.363765953054019597e+00,-1.459980841296439902e+00,-1.219329022192229939e+00,-1.055858912321620657e+00,-4.517311757895405400e+00
1.400933955970647127e-01,3.277761899058631023e-01,6.905827673066722294e-01,3.911030737104903565e-01,1.553727808167139290e+00,6.090021961843062881e-01,-2.601547454120316516e+00,-5.263622550298584502e-01,-6.365812136631059381e-01,-1.025894429161358090e+00,1.769175410792032666e-01,-2.018991246643657256e+00,-1.607862287238427390e+00,4.022317370857573238e-01,-2.332693675472456096e+00,-1.433054186771355543e+00,-1.203697335815000047e+00,-9.775337777883162937e-01,-4.516330417998378977e+00
