time,q1,q2,q3,q4,q5,q6,dq1,dq2,dq3,dq4,dq5,dq6,ddq1,ddq2,ddq3,ddq4,ddq5,ddq6
2.555036691127418269e+00,-8.290401739143056226e-01,4.717720475565053695e-01,-2.002868332228388004e-01,1.688033263126873296e+00,1.294747042091873412e+00,-4.246401913603854439e-01,-1.248472242445099134e+00,-1.237019793199010564e+00,-5.441378032618358063e-01,-9.794384543581221569e-01,-5.293169908862046524e-01,-2.213176956122276273e+00,-3.437015815731798707e-01,-6.205159179620389764e-01,-7.743732958283183754e-01,1.821424459500882609e+00,-1.633705440528547825e+00,2.112866857558309164e+00
2.561707805203468968e+00,-8.373761183761899707e-01,4.635064298181275078e-01,-2.039336734684326913e-01,1.681539690220389183e+00,1.291179803271657933e+00,-4.393569751935002543e-01,-1.250583272630729548e+00,-1.240938885481619014e+00,-5.491254067163297004e-01,-9.673586445329409589e-01,-5.401039518412660279e-01,-2.198831609568937751e+00,-2.891671477515986854e-01,-5.543930749331597019e-01,-7.208632712614425619e-01,1.799891694501987605e+00,-1.600198008975820985e+00,2.187721251449138649e+00
2.568378919279519668e+00,-8.457249314970274323e-01,4.552161402329656936e-01,-2.076125938380605496e-01,1.675126214603463115e+00,1.287541350203472046e+00,-4.539764005089240162e-01,-1.252330156296578068e+00,-1.244416193641505242e+00,-5.537551234046852455e-01,-9.554266851533564919e-01,-5.506668470461033582e-01,-2.183989864969305472e+00,-2.345336887457760700e-01,-4.880730636039465331e-01,-6.670824908172153789e-01,1.777101395039468734e+00,-1.566532839489836126e+00,2.261683042289142520e+00
2.575050033355570367e+00,-8.540841819543885105e-01,4.469041302013854189e-01,-2.113212009659652946e-01,1.668791822078790066e+00,1.283833181062576267e+00,-4.684951758157392954e-01,-1.253712297628209571e+00,-1.247450482986773856e+00,-5.580252201940021362e-01,-9.436509146558673677e-01,-5.610046704864890543e-01,-2.168657755548947907e+00,-1.798206406897205900e-01,-4.215800707207597031e-01,-6.130528895406002210e-01,1.753068871970080433e+00,-1.532723808429087065e+00,2.334728746613445871e+00
2.581721147431621066e+00,-8.624514348840619515e-01,4.385733588218599377e-01,-2.150570904132788341e-01,1.662535443167772353e+00,1.280056800426545127e+00,-4.829100503907185482e-01,-1.254729230682053220e+00,-1.250040680383476710e+00,-5.619341106037656353e-01,-9.320395672398922304e-01,-5.711165087832250631e-01,-2.152841469755014003e+00,-1.250475014420969755e-01,-3.549383430709532328e-01,-5.587964973166641425e-01,1.727810063410265107e+00,-1.498784810376808663e+00,2.406835313824084999e+00
2.588392261507671765e+00,-8.708242527477496608e-01,4.302267918119305201e-01,-2.188178476484013424e-01,1.656355953819783400e+00,1.276213718656930451e+00,-4.972178153041361126e-01,-1.255380619771276685e+00,-1.252185874625333817e+00,-5.654803554093714713e-01,-9.206007687096107173e-01,-5.810015412929028233e-01,-2.136547348341377273e+00,-7.023382281752266199e-02,-2.881721782405227694e-01,-5.043354301214437729e-01,1.701341526790955738e+00,-1.464729751899015442e+00,2.477980134298472414e+00
2.595063375583722465e+00,-8.792001962031726903e-01,4.218674004269071243e-01,-2.226010490312137213e-01,1.650252176149019423e+00,1.272305451280385746e+00,-5.114153044259496239e-01,-1.255666259799723017e+00,-1.253885316741740308e+00,-5.686626631871738446e-01,-9.093425323697290619e-01,-5.906590401670088752e-01,-2.119781881400333301e+00,-1.539920278122575148e-02,-2.213059153537076107e-01,-4.496918812396061838e-01,1.673680430624755910e+00,-1.430572545297883913e+00,2.548141047302647344e+00
2.601734489659773164e+00,-8.875768249762211459e-01,4.134981603767204916e-01,-2.264042628007288949e-01,1.644222879198516951e+00,1.268333518369544333e+00,-5.254993954120079636e-01,-1.255586076543653729e+00,-1.255138420243941066e+00,-5.714798908008410505e-01,-8.982727549771511999e-01,-6.000883703693518090e-01,-2.102551705342167399e+00,3.943672238956030807e-02,-1.543639257982258872e-01,-3.948881124524930009e-01,1.644844545989558871e+00,-1.396327102363372985e+00,2.617296348706460662e+00
2.608405603735823863e+00,-8.959516987348146166e-01,4.051220507413384464e-01,-2.302250500657916366e-01,1.638266779731011535e+00,1.264299443923913913e+00,-5.394670106699387402e-01,-1.255140126881104212e+00,-1.255944761309297109e+00,-5.739310438288379723e-01,-8.873992127503734784e-01,-6.092889896518005610e-01,-2.084863599823924663e+00,9.425428597423779475e-02,-8.737060393978615669e-02,-3.399464452000681702e-01,1.614852237732442575e+00,-1.362007328125840244e+00,2.685424798497817456e+00
2.615076717811874563e+00,-9.043223779641162974e-01,3.967420528851568484e-01,-2.340609657984362157e-01,1.632382543046203338e+00,1.260204755251071118e+00,-5.533151183043834020e-01,-1.254328598968651676e+00,-1.256304078903582200e+00,-5.760152769328750200e-01,-8.767295574384862400e-01,-6.182604484883659213e-01,-2.066724484628716052e+00,1.490337987041900902e-01,-2.035035782950861405e-02,-2.848892517203260866e-01,1.583722455398061335e+00,-1.327627114612485615e+00,2.752505628093329548e+00
2.621747831887925262e+00,-9.126864248427497550e-01,3.883611493707882500e-01,-2.379095598294989622e-01,1.626568783824048792e+00,1.256050982348440259e+00,-5.670407330412470248e-01,-1.253151812365436824e+00,-1.256216274841272851e+00,-5.777318941671754082e-01,-8.662713124516161489e-01,-6.270023899676450130e-01,-2.048141416496969569e+00,2.037555566814536201e-01,4.667240009199227768e-02,-2.297389461698056135e-01,1.551474723885792439e+00,-1.293200334610479452e+00,2.818518547442624644e+00
2.628418945963975961e+00,-9.210414041196676171e-01,3.799823228726459945e-01,-2.417683778461021393e-01,1.620824066993658441e+00,1.251839657285923835e+00,-5.806409171306629036e-01,-1.251610218104285632e+00,-1.255681413783823475e+00,-5.790803492284594123e-01,-8.560318690545618558e-01,-6.355145496436918062e-01,-2.029121585910942382e+00,2.583998493174541888e-01,1.136732622903365020e-01,-1.745179757286678957e-01,1.518129133839922318e+00,-1.258740835439516870e+00,2.883443751923893572e+00
2.635090060040026660e+00,-9.293848839913163573e-01,3.716085550907564095e-01,-2.456349623906028401e-01,1.615146908627367539e+00,1.247572313589668802e+00,-5.941127812283394372e-01,-1.249704398709817976e+00,-1.254699723175941140e+00,-5.800602456465433487e-01,-8.460184826254425472e-01,-6.437967553453819436e-01,-2.009672313833981150e+00,3.129469672883521403e-01,1.806278354290983268e-01,-1.192488116940654264e-01,1.483706331777492116e+00,-1.224262432736696660e+00,2.947261929028073268e+00
2.641761174116077360e+00,-9.377144369787466793e-01,3.632428256651930587e-01,-2.495068538606201869e-01,1.609535776859546852e+00,1.243250485627239277e+00,-6.074534852550237396e-01,-1.247435068163434080e+00,-1.253271593119894334e+00,-5.806713369154968829e-01,-8.362382689810416991e-01,-6.518489269443621392e-01,-1.989801048405856587e+00,3.673772105037204083e-01,2.475117496540173434e-01,-6.395394056524861259e-02,1.448227509958283088e+00,-1.189778904256443059e+00,3.009954264829420634e+00
2.648432288192128059e+00,-9.460276408043117868e-01,3.548881110915660941e-01,-2.533815915097312188e-01,1.603989092829701146e+00,1.238875707994481434e+00,-6.206602392337614571e-01,-1.244803071815113515e+00,-1.251397576187925686e+00,-5.809135265653051494e-01,-8.266982007706047408e-01,-6.596710760817058317e-01,-1.969515361595697289e+00,4.216708960850796828e-01,3.143006678658790132e-01,-8.655855124151123903e-03,1.411714396001796601e+00,-1.155303983688368064e+00,3.071502450240076953e+00
2.655103402268178758e+00,-9.543220792676010422e-01,3.465473836379592276e-01,-2.572567144484573798e-01,1.598505231649387293e+00,1.234449514904340184e+00,-6.337303041047046559e-01,-1.241809386241956137e+00,-1.249078387172846138e+00,-5.807868681740289141e-01,-8.174051039396987850e-01,-6.672633058533785633e-01,-1.948822945813879937e+00,4.758083663509903305e-01,3.809702949785792603e-01,4.662295448510644924e-02,1.374189242255949850e+00,-1.120851354495777663e+00,3.131888687046550324e+00
2.661774516344229458e+00,-9.625953431202483035e-01,3.382236102637443675e-01,-2.611297626451218323e-01,1.593082523392489014e+00,1.229973439577922933e+00,-6.466609925171737938e-01,-1.238455119053446296e+00,-1.246314902776934019e+00,-5.802915653204573365e-01,-8.083656542658477218e-01,-6.746258104546920542e-01,-1.927731610484419766e+00,5.297699968052118624e-01,4.474963871585708186e-01,1.018600096740530647e-01,1.335674814922566789e+00,-1.086434643777704157e+00,3.191095693725922278e+00
2.668445630420280157e+00,-9.708450309392702149e-01,3.299197515406733228e-01,-2.649982779262023413e-01,1.587719254108360012e+00,1.225449013638058471e+00,-6.594496695987285273e-01,-1.234741508643428354e+00,-1.243108161239262044e+00,-5.794279714772891943e-01,-7.995863739674731185e-01,-6.817588747838863039e-01,-1.906249278579278394e+00,5.835362041246232589e-01,5.138547610421747569e-01,1.570328523215691607e-01,1.296194382944579893e+00,-1.052067416157142610e+00,3.249106711039817519e+00
