tau1,tau2,tau3,tau4,tau5,tau6
-1.7708501331981097e-11,-2.842170943040401e-14,-7.105427357601002e-15,9.137135492665038e-14,-2.6867397195928788e-14,5.585809592645319e-16
1.3784706709429884e-10,2.842170943040401e-14,-7.105427357601002e-15,6.994405055138486e-15,-8.881784197001252e-16,-2.2898349882893854e-16
7.552625191920015e-11,1.4210854715202004e-14,7.105427357601002e-15,-5.895284260759581e-14,1.354472090042691e-14,1.096345236817342e-15
-1.4942269643825057e-10,2.842170943040401e-14,0.0,-8.959499808725013e-14,2.531308496145357e-14,-9.54097911787244e-16
-1.3788348240950654e-10,1.4210854715202004e-14,0.0,9.736655925962623e-14,-2.5757174171303632e-14,-8.083811398051921e-16
4.369837824924616e-13,-5.684341886080802e-14,7.105427357601002e-15,9.692247004977617e-14,-2.731148640577885e-14,8.36136715420821e-16
-1.7137669061639826e-10,-1.4210854715202004e-14,7.105427357601002e-15,2.3092638912203256e-14,-1.2212453270876722e-14,6.730727086790012e-16
4.5998760356269486e-11,0.0,7.105427357601002e-15,-8.359979375427429e-14,2.8199664825478976e-14,-3.535366444040733e-15
8.206102464214382e-11,2.842170943040401e-14,-7.105427357601002e-15,-1.0236256287043943e-13,3.7969627442180354e-14,1.97758476261356e-16
-6.02389249593216e-11,2.842170943040401e-14,0.0,-3.885780586188048e-14,1.2878587085651816e-14,-4.007211229506424e-15
7.51869677628747e-11,1.4210854715202004e-14,0.0,2.90878432451791e-14,-1.7541523789077473e-14,2.9976021664879227e-15
1.339861555038624e-11,4.263256414560601e-14,0.0,1.0658141036401503e-14,-1.9984014443252818e-15,-7.28583859910259e-16
-9.333955830470586e-11,0.0,-7.105427357601002e-15,3.497202527569243e-14,-1.2878587085651816e-14,1.1449174941446927e-16
-1.4542544946039015e-10,4.263256414560601e-14,-7.105427357601002e-15,5.551115123125783e-16,-1.5543122344752192e-15,4.3021142204224816e-15
-1.808775351719305e-11,-1.4210854715202004e-14,0.0,1.438849039914203e-13,-4.463096558993129e-14,-3.0357660829594124e-15
8.728529010681996e-11,2.842170943040401e-14,0.0,2.9753977059954195e-14,-9.325873406851315e-15,-4.0245584642661925e-16
-1.680540151483001e-10,-2.842170943040401e-14,0.0,8.815170815523743e-14,-2.930988785010413e-14,6.487865800153259e-16
3.47455397786689e-12,1.4210854715202004e-14,7.105427357601002e-15,2.90878432451791e-14,-9.547918011776346e-15,-1.4190038033490282e-15
8.662226491651381e-11,1.4210854715202004e-14,7.105427357601002e-15,-3.9968028886505635e-15,-2.398081733190338e-14,1.908195823574488e-15
2.7485569376040075e-11,1.4210854715202004e-14,-1.0658141036401503e-14,-4.551914400963142e-15,-3.863576125695545e-14,8.222589276130066e-16
5.807176961525329e-11,-1.4210854715202004e-14,3.552713678800501e-15,-3.774758283725532e-15,-1.1102230246251565e-14,3.469446951953614e-17
1.2184964148787003e-10,2.842170943040401e-14,1.0658141036401503e-14,-3.241851231905457e-14,-1.5010215292932116e-13,-1.214306433183765e-16
-7.06044112064319e-11,0.0,-1.4210854715202004e-14,7.771561172376096e-16,1.4210854715202004e-14,-1.4363510381087963e-15
-5.866285235356372e-11,-1.4210854715202004e-14,-3.552713678800501e-15,2.5868196473766147e-14,9.325873406851315e-14,6.869504964868156e-16
3.515743252080483e-11,0.0,3.552713678800501e-15,3.3306690738754696e-15,2.1760371282653068e-14,3.389649672058681e-15
-2.4458879366306974e-11,-1.4210854715202004e-14,3.552713678800501e-15,7.105427357601002e-15,3.108624468950438e-14,-9.506284648352903e-16
8.942846463355636e-11,-2.842170943040401e-14,7.105427357601002e-15,2.19824158875781e-14,1.127986593019159e-13,1.6826817716975029e-15
-2.1249313419957616e-10,-1.4210854715202004e-14,3.552713678800501e-15,3.4416913763379853e-15,2.0872192862952943e-14,-3.0184188481996443e-16
-7.563571990942819e-11,-2.842170943040401e-14,3.552713678800501e-15,-4.884981308350689e-15,-1.532107773982716e-14,9.332812300755222e-16
-1.1810552535962415e-11,1.4210854715202004e-14,-2.1316282072803006e-14,2.6645352591003757e-15,9.769962616701378e-15,1.5994150448506161e-15
-4.461853109205549e-11,-1.4210854715202004e-14,0.0,9.103828801926284e-15,5.46229728115577e-14,-1.259409243559162e-15
1.0371048464463684e-10,0.0,0.0,1.2989609388114332e-14,5.5067062021407764e-14,3.559652572704408e-15
-7.379641342453169e-11,0.0,-1.0658141036401503e-14,3.219646771412954e-15,2.4424906541753444e-14,4.1321113197767545e-15
-3.1536551148292347e-11,2.842170943040401e-14,-1.0658141036401503e-14,-1.8096635301390052e-14,-9.547918011776346e-14,-1.4432899320127035e-15
-4.8697490484528316e-11,0.0,0.0,3.774758283725532e-15,-6.439293542825908e-15,-6.210310043996969e-16
2.555933242831543e-11,-1.4210854715202004e-14,1.0658141036401503e-14,4.9960036108132044e-15,1.4876988529977098e-14,-1.3877787807814457e-15
-1.7011947406331274e-12,2.842170943040401e-14,1.0658141036401503e-14,4.773959005888173e-15,3.4861002973229915e-14,-1.6410484082740595e-15
2.718658631550852e-11,0.0,0.0,-7.771561172376096e-15,-5.995204332975845e-15,1.502270530195915e-15
6.481326586538216e-11,-2.842170943040401e-14,0.0,1.554312234475219e-14,8.548717289613705e-14,2.1822821327788233e-15
-1.166985397205167e-10,1.4210854715202004e-14,0.0,1.587618925213974e-14,8.748557434046234e-14,3.146788385421928e-15
9.344591767046495e-11,0.0,-7.105427357601002e-15,1.9984014443252818e-14,9.015010959956271e-14,-4.288236432614667e-15
-1.7607559854582178e-10,-2.842170943040401e-14,-3.552713678800501e-15,6.5503158452884236e-15,3.375077994860476e-14,-6.349087922075114e-16
-9.176748250183664e-11,-2.842170943040401e-14,-3.552713678800501e-15,-6.217248937900877e-15,-2.1094237467877974e-14,3.8163916471489756e-17
8.1592510525752e-11,1.4210854715202004e-14,0.0,1.1102230246251565e-16,-1.3100631690576847e-14,-1.942890293094024e-16
1.4324319508318695e-10,-1.4210854715202004e-14,3.552713678800501e-15,2.3314683517128287e-15,3.219646771412954e-14,-2.42861286636753e-16
1.615572120527986e-10,0.0,-3.552713678800501e-15,-3.6637359812630166e-15,8.43769498715119e-15,-1.5092094240998222e-15
6.49102993577344e-12,1.4210854715202004e-14,-7.105427357601002e-15,2.0650148258027912e-14,9.50350909079134e-14,1.3739009929736312e-15
-1.7037482535897652e-11,0.0,3.552713678800501e-15,-1.176836406102666e-14,-2.6867397195928788e-14,-3.3653635433950058e-15
-9.511635923331596e-11,1.4210854715202004e-14,3.552713678800501e-15,-1.509903313490213e-14,-8.038014698286133e-14,-2.4424906541753444e-15
5.14215336977486e-11,4.263256414560601e-14,7.105427357601002e-15,1.199040866595169e-14,3.241851231905457e-14,1.3600232051658168e-15
7.62141461052579e-11,-1.1795009413617663e-12,3.552713678800501e-13,-1.8207657603852567e-14,2.0872192862952943e-14,1.2108369862318114e-15
5.766143118535183e-11,5.115907697472721e-12,-1.4139800441625994e-12,4.674038933671909e-14,-8.08242361927114e-14,-2.858824288409778e-15
-4.1741721190646786e-11,-6.0751403907488566e-12,1.7053025658242404e-12,-2.2537527399890678e-14,1.0391687510491465e-13,1.2836953722228372e-15
-4.001687869958914e-11,2.984279490192421e-13,-7.815970093361102e-14,-9.992007221626409e-16,-4.440892098500626e-15,-8.777700788442644e-16
8.956257957493108e-11,-2.2524204723595176e-12,6.323830348264892e-13,1.687538997430238e-14,4.3076653355456074e-14,-8.083811398051921e-16
1.2367440405114394e-11,5.144329406903125e-12,-1.5347723092418164e-12,5.56776846849516e-13,-1.3677947663381929e-13,-1.1587952819525071e-15
5.970335337224242e-12,-7.645439836778678e-12,2.3376856006507296e-12,-6.269429420058259e-13,1.978417429882029e-13,1.2281842209915794e-15
-6.312594891255685e-11,-5.897504706808832e-13,1.7763568394002505e-13,-3.497202527569243e-14,1.554312234475219e-14,2.0816681711721685e-16
7.352163322593697e-11,7.318590178329032e-12,-2.291500322826323e-12,2.929878561985788e-13,5.286882043264995e-13,-1.9359513991901167e-15
1.2466028209701108e-10,5.016431714466307e-12,-1.5702994460298214e-12,1.517674874662589e-13,3.1885605267234496e-13,-4.128641872824801e-16
-1.53499879473884e-10,-6.0609295360336546e-12,1.943334382303874e-12,-1.2945200467129325e-13,-3.388400671155978e-13,2.1996293675385914e-15
-7.675549085206512e-11,6.679101716144942e-13,-2.3447910280083306e-13,8.326672684688674e-15,3.241851231905457e-14,3.677613769070831e-16
-2.698805623424505e-10,3.055333763768431e-12,-1.0373923942097463e-12,1.4099832412739488e-14,1.3278267374516872e-13,-8.049116928532385e-16
2.0663470934323414e-11,-2.0676793610618915e-12,7.176481631177012e-13,7.216449660063518e-15,-8.08242361927114e-14,-4.3021142204224816e-16
3.772671064439237e-11,2.8634872251132037e-12,-1.0054179711005418e-12,-2.864375403532904e-14,1.0080825063596421e-13,4.198030811863873e-16
