time,q1,q2,q3,q4,q5,q6,dq1,dq2,dq3,dq4,dq5,dq6,ddq1,ddq2,ddq3,ddq4,ddq5,ddq6
4.569713142094729896e+00,1.201554337034292708e+00,1.290431448379456003e-01,-4.946716884317459151e-01,8.008716861366549367e-01,-5.475739428077908144e-02,-1.665793073457384255e+00,3.189867545093334478e-01,-1.044238793381438546e+00,1.028512140021442978e+00,1.731341431914925622e+00,1.998550179814473138e+00,-1.162662878760789553e+00,-2.632428548903594567e+00,-9.326521604800537268e-01,1.131633592683686906e+00,-3.248540631877125051e+00,-4.826131462664173810e-01,-1.048863793804452493e+00
4.576384256170780596e+00,1.203623591914646740e+00,1.220563038842288617e-01,-4.877854483540565722e-01,8.123487789836141282e-01,-4.143581479877872509e-02,-1.673572079496782328e+00,3.013512241875149211e-01,-1.050393770662864323e+00,1.035943180133294561e+00,1.709401759929650932e+00,1.995223627459957072e+00,-1.169394697155371698e+00,-2.654584547204899447e+00,-9.125471755169748400e-01,1.096147776173590049e+00,-3.328805942705997278e+00,-5.147409194238941055e-01,-9.693261109664199626e-01
4.583055370246831295e+00,1.205574710462376853e+00,1.150288525352798907e-01,-4.808504265498807495e-01,8.236777312076082325e-01,-2.813714440983824949e-02,-1.681394224043549102e+00,2.835702821359425974e-01,-1.056413373751753593e+00,1.043136609507519186e+00,1.686930002734921885e+00,1.991681678411399758e+00,-1.175595757654718909e+00,-2.676020897419820965e+00,-8.920679338804611280e-01,1.060399233255956197e+00,-3.408055310018852424e+00,-5.471882477961922397e-01,-8.897474025730246483e-01
4.589726484322881994e+00,1.207406738725201656e+00,1.079617021729195603e-01,-4.738682139339381316e-01,8.348550160124008634e-01,-1.486282712325076583e-02,-1.689255965653173153e+00,2.656487707016948474e-01,-1.062295125207558089e+00,1.050090702369370188e+00,1.663933026865819897e+00,1.987922217744209963e+00,-1.181265883203160172e+00,-2.696725204719814251e+00,-8.712202315253222418e-01,1.024396043049441873e+00,-3.486262086828967544e+00,-5.799500293792929639e-01,-8.101566456849035314e-01
4.596397598398932693e+00,1.209118755328500772e+00,1.008557805764329351e-01,-4.668404127534118153e-01,8.458771529997545224e-01,-1.614320941635494222e-03,-1.697153762345079420e+00,2.475916140188340608e-01,-1.068036586638379859e+00,1.056803787110385917e+00,1.640417875546760218e+00,1.983943165489083116e+00,-1.186405090186169353e+00,-2.716685345193975643e+00,-8.500099788662307532e-01,9.881463651759876399e-01,-3.563399950317586828e+00,-6.130208866951090130e-01,-7.305828549420581020e-01
4.603068712474983393e+00,1.210709872014850363e+00,9.371203165954218595e-02,-4.597686362248221137e-01,8.567407093408581087e-01,1.160690237837294636e-02,-1.705084072893845226e+00,2.294038161812153032e-01,-1.073635359456195815e+00,1.063274246819154278e+00,1.616391766495874460e+00,1.979742478467254818e+00,-1.191013588641905985e+00,-2.735889471787476435e+00,-8.284431982697025854e-01,9.516584378709052050e-01,-3.639442911727385876e+00,-6.463951675605525971e-01,-6.510550708195793623e-01
4.609739826551034092e+00,1.212179234171240516e+00,8.653141520239901463e-02,-4.526545081674009374e-01,8.674423009328887657e-01,2.479935757766710269e-02,-1.713043358121566939e+00,2.110904593760509762e-01,-1.079089085615249521e+00,1.069500519799357452e+00,1.591862089663752311e+00,1.975318152120087767e+00,-1.195091782394306579e+00,-2.754326020128753161e+00,-8.065260215145078071e-01,9.149405760621973638e-01,-3.714365326145236956e+00,-6.800669460089880936e-01,-5.716023478543313940e-01
4.616410940627084791e+00,1.213526021343712680e+00,7.931490657870687855e-02,-4.454996626330547382e-01,8.779785935402674157e-01,3.796154615838479018e-02,-1.721028082190855901e+00,1.926567019789797164e-01,-1.084395448333391299e+00,1.075481100074910712e+00,1.566836404907312019e+00,1.970668222332029318e+00,-1.198640269107555945e+00,-2.771983714242832519e+00,-7.842646872216570975e-01,8.780011694195852812e-01,-3.788141902170392150e+00,-7.140300233639669258e-01,-4.922537428474582644e-01
4.623082054703135491e+00,1.214749447739162047e+00,7.206349647808707459e-02,-4.383057435329975604e-01,8.883463039201917599e-01,5.109195665977747658e-02,-1.729034713897926734e+00,1.741077766113968694e-01,-1.089552172796189655e+00,1.081214537881980853e+00,1.541322439599545735e+00,1.965790767245874537e+00,-1.201659840261784407e+00,-2.788851572148113966e+00,-7.616655382551638098e-01,8.408486803736608950e-01,-3.860747711464258991e+00,-7.482779294651535906e-01,-4.130383030477751127e-01
4.629753168779186190e+00,1.215848762714056175e+00,6.477819062380914261e-02,-4.310744042611506788e-01,8.985422009320015446e-01,6.418906494614548541e-02,-1.737059727965268197e+00,1.554489881608621116e-01,-1.094557026843593794e+00,1.086699440147691931e+00,1.515328086175984357e+00,1.960683909069356634e+00,-1.204151481049888339e+00,-2.804918911334001841e+00,-7.387350190947875594e-01,8.034916421056851332e-01,-3.932158198177862829e+00,-7.828039240461901471e-01,-3.339850543211195788e-01
